Name,Similarity_X,Similarity_Y
BE,0.95868534449472564,0.67199242729018627
BC,0.99624024814362244,0.85068712557537263
DG,0.95787610619469032,0.66666666666666674
DE,0.99430399025281757,0.78052980085085899
AD,0.95883979180502565,0.67219199988917577
AB,0.98442836106150322,0.75378438328426189
EH,0.95787610619469032,0.66666666666666674
EF,0.99430399025281757,0.78052980085085899
CF,0.95868534449472564,0.67199242729018627
GH,1.0,1.0
F1,0.95868534449472564,0.67199242729018627
F2,1.0,1.0
F3,0.95787610619469032,0.66666666666666674
F4,0.97319613423826345,0.71330507152479672
F5,0.93040374395177283,0.66972460548998891
F6,0.92687270313587722,0.68007742632029666
H2,0.95787610619469032,0.66666666666666674
H3,1.0,1.0
H1,0.94302394555274571,0.66666666666666674
H6,0.89149368083295133,0.66666666666666674
H4,0.98370243910150013,0.76047651971673647
H5,0.96885324779470727,0.72738398867828913
