Name,Similarity_X,Similarity_Y
AC,0.72047633165332536,0.67736764696471263
AB,0.76464755153279751,0.67971846555393334
B4,0.87204453180974772,0.69372930393655308
B5,0.68310137317316855,0.66899660060421762
B6,0.76008726410098915,0.67903031514152634
B1,0.66959459459459458,0.66685725765710246
B2,0.84351369209309146,0.68270001630911648
B3,0.87150489269125553,0.69334022275051954
C3,0.75204004374526789,0.67697198899495992
C2,0.66909152071988731,0.66681519524776434
C1,0.98405005069363738,0.87807284731458091
C6,0.71364042489824286,0.67592579535439878
C5,0.67827675951049338,0.66933033466826686
C4,0.75968176460683623,0.67851443469740857
