Name,Similarity_X,Similarity_Y
BE,0.6924983104302771,0.67294873206500905
BC,0.60223736659380223,0.65632201172434002
DG,0.60382373990389526,0.65674611051220644
DE,0.69198383294038401,0.67278401557572221
AD,0.72157800358637181,0.6862618220837603
AB,0.7122783137835782,0.68280605990131882
EH,0.6940875243710507,0.67091507474245948
EF,0.68513545347467608,0.66946298648179869
CF,0.68192828928703919,0.66817147156342838
GH,0.68304860312154037,0.66822943529142775
F1,0.73447843585739747,0.67611468420611576
F2,0.77356384724805782,0.68440806227073259
F3,0.70160482732058027,0.67390674870085387
F4,0.73437842098349171,0.67588862734192323
F5,0.7353878388406303,0.67592746245655433
F6,0.88539276739866712,0.7304340739602555
H2,0.66422210581456254,0.66645254727249892
H3,0.66507960886704554,0.66637036625737067
H1,0.78227681509102875,0.68687353422659003
H6,0.73573639018436998,0.67592110362113578
H4,0.75174145649088331,0.67919191037708415
H5,0.7491673741265592,0.67847540749633861
