Name,Similarity_X,Similarity_Y
BE,0.97145162291317566,0.69953784122058804
BC,0.99691320663357941,0.80726572216705428
DG,0.95258135065279337,0.72016063989556678
DE,0.99347216915042669,0.83100574615080258
AD,0.97132394016510459,0.69941048271988027
AB,0.99691320663357941,0.80726572216705428
EH,0.95248823802266258,0.71995285600626191
EF,0.99350566662422002,0.83112687831166443
CF,0.97157927396835242,0.6996661206782494
GH,0.987636413869319,0.83429223898882765
F1,0.90679742982752787,0.68737678450226547
F2,0.89618213660245183,0.69335018699533746
F3,0.95262704565030143,0.72007844950651356
F4,0.9747440273037542,0.70738367209908382
F5,0.93244765060142654,0.68913493720856756
F6,0.92198942877157231,0.66666666666666674
H2,0.92342606149341133,0.72589517392951197
H3,0.987636413869319,0.83429223898882765
H1,0.94057868736767825,0.7322108685846237
H6,0.95957051961823958,0.73125432426774273
H4,0.92761290322580647,0.67842306412049114
H5,0.92533709680161869,0.70277910056276638
