Set,Correct,Incorrect,Skipped
Basic Problems B,9,3,0
Basic Problems C,6,6,0
Basic Problems D,5,7,0
Basic Problems E,5,7,0
Challenge Problems B,4,8,0
Challenge Problems C,0,12,0
