Name,Similarity_X,Similarity_Y
BE,0.95816699082130552,0.7437484433255015
BC,0.97770705971024208,0.78014499953413774
DG,0.98018968698410647,0.76704161104475399
DE,0.93488739230472095,0.70604903115328255
AD,0.95759557181238475,0.71310909551805157
AB,0.9591994347404571,0.72567202211086113
EH,0.97302448067360825,0.78220529331524125
EF,0.96818853813375083,0.77186582103792178
CF,0.96381388044925398,0.75443208502312997
GH,0.94366432073646644,0.71206837329843264
F1,0.95338083167774201,0.7377327121938132
F2,0.96381388044925398,0.75443208502312997
F3,0.96520418437174693,0.75717076010525974
F4,1.0,1.0
F5,0.96559602204004835,0.75029529086519042
F6,0.9465791940018744,0.71739814274529679
H2,0.96214929433769769,0.74940457631031221
H3,0.98478486306376756,0.814236709086265
H1,0.95819968607111161,0.74382012683290322
H6,0.96585300786981465,0.74681250600584681
H4,0.98017468459725499,0.80413224065709632
H5,0.9465791940018744,0.71739814274529679
