Name,Similarity_X,Similarity_Y
AC,0.74753286340255287,0.66918509347119548
AB,0.5654376837819497,0.66080382627122281
B4,0.59354838709677415,0.65229352378807792
B5,0.5643968606813955,0.6605719383051879
B6,0.37419354838709684,0.62832222253470649
B1,0.81799777075134783,0.70143617708573125
B2,1.0,1.0
B3,0.56648546229670904,0.6610306259828832
C3,0.74928249672134262,0.66916880611258389
C2,0.47061482820976491,0.66651276689239503
C1,0.70427442047434008,0.66667933204151497
C6,0.81283905967450265,0.69897733848576649
C5,0.74575105984799295,0.66919676995311039
C4,0.56568716094032545,0.6608594351598126
