Name,Similarity_X,Similarity_Y
AC,0.96150471763456413,0.67146914339674413
AB,0.96136083743842371,0.67145076764364353
B4,0.9713969026139968,0.68871189441546232
B5,0.95936787628611919,0.66950818451378746
B6,0.97420744844567564,0.69461982872680383
B1,0.96155385231015478,0.6714367042298961
B2,0.99550520288159605,0.81747999300095697
B3,0.96133243026907211,0.67133153962788872
C3,0.96021424283933332,0.66964736887886811
C2,0.96840225940005853,0.68243279497458142
C1,0.96166689749626832,0.67141228133043485
C6,0.97167212912954504,0.68860027676891866
C5,0.95957371444411932,0.66959825291884878
C4,0.97378669170501952,0.69390444126275497
